time_ms,time_ts,v4,v5,g4,g5
1696289,1762292198.039619,2.506286,2.683553,0.003143,0.091776
1696289,1762292198.039627,2.507246,2.682273,0.003623,0.091136
1696289,1762292198.039633,2.507246,2.680993,0.003623,0.090496
1696289,1762292198.039657,2.506286,2.680033,0.003143,0.090016
1696290,1762292198.040663,2.507246,2.677793,0.003623,0.088897
1696290,1762292198.040694,2.506606,2.677793,0.003303,0.088897
1696290,1762292198.040705,2.506606,2.675233,0.003303,0.087617
1696290,1762292198.040736,2.506926,2.676833,0.003463,0.088417
1696290,1762292198.040746,2.506926,2.673953,0.003463,0.086977
1696290,1762292198.040771,2.507565,2.673633,0.003783,0.086817
1696290,1762292198.040820,2.506926,2.672354,0.003463,0.086177
1696290,1762292198.041126,2.506606,2.671394,0.003303,0.085697
1696290,1762292198.041134,2.507246,2.670114,0.003623,0.085057
1696290,1762292198.041185,2.505966,2.670754,0.002983,0.085377
1696298,1762292198.049125,2.507246,2.668514,0.003623,0.084257
1696298,1762292198.049151,2.507246,2.666594,0.003623,0.083297
1696298,1762292198.049159,2.506926,2.667554,0.003463,0.083777
1696298,1762292198.049165,2.507246,2.664994,0.003623,0.082497
1696298,1762292198.049171,2.507246,2.665314,0.003623,0.082657
1696298,1762292198.049178,2.505646,2.663394,0.002823,0.081697
1696298,1762292198.049183,2.507565,2.663394,0.003783,0.081697
1696298,1762292198.049190,2.506286,2.661154,0.003143,0.080577
1696298,1762292198.049196,2.506286,2.661474,0.003143,0.080737
1696298,1762292198.049216,2.506926,2.660514,0.003463,0.080257
1696300,1762292198.050704,2.506606,2.659554,0.003303,0.079777
1696300,1762292198.050743,2.506286,2.658275,0.003143,0.079137
1696300,1762292198.050759,2.506926,2.656675,0.003463,0.078337
1696300,1762292198.050775,2.506926,2.655075,0.003463,0.077537
1696300,1762292198.050789,2.507246,2.655715,0.003623,0.077857
1696300,1762292198.050806,2.507565,2.654435,0.003783,0.077217
1696300,1762292198.050813,2.506926,2.653155,0.003463,0.076577
1696300,1762292198.050820,2.506606,2.652195,0.003303,0.076097
1696300,1762292198.050838,2.507565,2.651555,0.003783,0.075778
1696300,1762292198.050902,2.506286,2.649955,0.003143,0.074978
1696313,1762292198.064118,2.507885,2.649315,0.003943,0.074658
1696313,1762292198.064143,2.506606,2.647715,0.003303,0.073858
1696313,1762292198.064188,2.506926,2.647395,0.003463,0.073698
1696313,1762292198.064213,2.506926,2.647075,0.003463,0.073538
1696313,1762292198.064265,2.507246,2.646115,0.003623,0.073058
1696313,1762292198.064290,2.507885,2.645475,0.003943,0.072738
1696313,1762292198.064384,2.506926,2.645795,0.003463,0.072898
1696314,1762292198.064417,2.505966,2.644196,0.002983,0.072098
1696314,1762292198.064436,2.506926,2.643556,0.003463,0.071778
1696314,1762292198.064467,2.506606,2.642916,0.003303,0.071458
1696329,1762292198.080249,2.507246,2.642916,0.003623,0.071458
1696329,1762292198.080300,2.506286,2.641956,0.003143,0.070978
1696329,1762292198.080353,2.507246,2.641636,0.003623,0.070818
1696330,1762292198.080396,2.506286,2.641636,0.003143,0.070818
1696330,1762292198.080449,2.505966,2.640676,0.002983,0.070338
1696330,1762292198.080488,2.506286,2.640996,0.003143,0.070498
1696330,1762292198.080520,2.505966,2.640676,0.002983,0.070338
1696330,1762292198.080534,2.506606,2.640996,0.003303,0.070498
1696330,1762292198.080549,2.505966,2.639396,0.002983,0.069698
1696330,1762292198.080571,2.504046,2.639716,0.002023,0.069858
1696346,1762292198.097343,2.512365,2.638756,0.006183,0.069378
1696347,1762292198.097778,2.506606,2.640996,0.003303,0.070498
1696347,1762292198.097798,2.505646,2.639716,0.002823,0.069858
1696347,1762292198.097805,2.505326,2.638436,0.002663,0.069218
1696347,1762292198.097811,2.505966,2.639716,0.002983,0.069858
1696347,1762292198.097816,2.505006,2.640036,0.002503,0.070018
1696347,1762292198.097821,2.505646,2.639076,0.002823,0.069538
1696347,1762292198.097826,2.505326,2.639396,0.002663,0.069698
1696347,1762292198.097832,2.505966,2.640356,0.002983,0.070178
1696347,1762292198.097840,2.505966,2.639716,0.002983,0.069858
1696347,1762292198.098095,2.507246,2.640036,0.003623,0.070018
1696347,1762292198.098112,2.505326,2.640676,0.002663,0.070338
1696347,1762292198.098119,2.505966,2.640676,0.002983,0.070338
1696347,1762292198.098124,2.506286,2.640676,0.003143,0.070338
1696347,1762292198.098130,2.506286,2.640996,0.003143,0.070498
1696347,1762292198.098135,2.508205,2.641316,0.004103,0.070658
1696347,1762292198.098140,2.506286,2.641956,0.003143,0.070978
1696347,1762292198.098145,2.505646,2.641636,0.002823,0.070818
1696347,1762292198.098150,2.507885,2.642276,0.003943,0.071138
1696347,1762292198.098155,2.506606,2.641636,0.003303,0.070818
1696362,1762292198.112398,2.503726,2.642596,0.001863,0.071298
1696362,1762292198.112421,2.508205,2.642916,0.004103,0.071458
1696362,1762292198.112427,2.515565,2.642916,0.007782,0.071458
1696362,1762292198.112459,2.511405,2.643236,0.005703,0.071618
1696362,1762292198.112503,2.502126,2.644516,0.001063,0.072258
1696362,1762292198.112510,2.506286,2.643876,0.003143,0.071938
1696362,1762292198.112516,2.507246,2.644516,0.003623,0.072258
1696362,1762292198.112521,2.506926,2.644516,0.003463,0.072258
1696362,1762292198.112526,2.510765,2.645795,0.005383,0.072898
1696362,1762292198.112531,2.511405,2.644836,0.005703,0.072418
1696362,1762292198.112774,2.501806,2.644516,0.000903,0.072258
1696362,1762292198.113037,2.504046,2.645475,0.002023,0.072738
1696362,1762292198.113045,2.501806,2.645475,0.000903,0.072738
1696362,1762292198.113053,2.507565,2.646115,0.003783,0.073058
1696362,1762292198.113059,2.512045,2.646115,0.006023,0.073058
1696362,1762292198.113064,2.501166,2.647075,0.000583,0.073538
1696362,1762292198.113069,2.512685,2.646435,0.006343,0.073218
1696362,1762292198.113074,2.504046,2.647075,0.002023,0.073538
1696362,1762292198.113079,2.517485,2.646755,0.008742,0.073378
1696362,1762292198.113084,2.502766,2.646755,0.001383,0.073378
1696377,1762292198.127827,2.506286,2.648035,0.003143,0.074018
1696377,1762292198.127912,2.504686,2.648035,0.002343,0.074018
1696377,1762292198.127918,2.504366,2.648675,0.002183,0.074338
1696377,1762292198.127922,2.509805,2.647715,0.004903,0.073858
1696377,1762292198.127926,2.505326,2.649315,0.002663,0.074658
1696377,1762292198.127931,2.509485,2.647715,0.004743,0.073858
1696377,1762292198.127934,2.510445,2.648035,0.005223,0.074018
1696377,1762292198.127938,2.514605,2.648355,0.007302,0.074178
1696377,1762292198.127941,2.508205,2.648675,0.004103,0.074338
1696377,1762292198.127945,2.512685,2.648355,0.006343,0.074178
1696392,1762292198.143342,2.502126,2.648675,0.001063,0.074338
1696392,1762292198.143368,2.508205,2.648035,0.004103,0.074018
1696392,1762292198.143373,2.507246,2.648675,0.003623,0.074338
1696392,1762292198.143376,2.508845,2.647715,0.004423,0.073858
1696392,1762292198.143380,2.495086,2.648035,-0.002457,0.074018
1696392,1762292198.143384,2.509805,2.647395,0.004903,0.073698
