time_ms,time_ts,v4,v5,g4,g5
1642962,1762292144.625254,2.506606,2.534444,0.003303,0.017222
1642962,1762292144.625409,2.505326,2.534444,0.002663,0.017222
1642962,1762292144.625529,2.505326,2.534764,0.002663,0.017382
1642962,1762292144.625598,2.505646,2.535083,0.002823,0.017542
1642962,1762292144.625611,2.504366,2.537003,0.002183,0.018502
1642962,1762292144.625621,2.504046,2.537643,0.002023,0.018822
1642962,1762292144.625628,2.503406,2.537643,0.001703,0.018822
1642962,1762292144.625656,2.504366,2.538283,0.002183,0.019142
1642962,1762292144.625716,2.504046,2.537643,0.002023,0.018822
1642965,1762292144.628828,2.503726,2.540203,0.001863,0.020102
1642978,1762292144.641380,2.503406,2.539883,0.001703,0.019942
1642978,1762292144.641403,2.502766,2.541163,0.001383,0.020582
1642978,1762292144.641435,2.503086,2.540843,0.001543,0.020422
1642978,1762292144.641442,2.502446,2.543083,0.001223,0.021541
1642978,1762292144.641448,2.502126,2.543403,0.001063,0.021701
1642978,1762292144.641453,2.501166,2.544683,0.000583,0.022341
1642978,1762292144.641458,2.501806,2.546603,0.000903,0.023301
1642978,1762292144.641499,2.501166,2.546603,0.000583,0.023301
1642978,1762292144.641561,2.501486,2.549162,0.000743,0.024581
1642978,1762292144.641588,2.501166,2.549482,0.000583,0.024741
1642994,1762292144.657587,2.500846,2.552362,0.000423,0.026181
1642994,1762292144.657630,2.500206,2.553002,0.000103,0.026501
1642994,1762292144.657668,2.500526,2.553962,0.000263,0.026981
1642994,1762292144.657698,2.500206,2.553962,0.000103,0.026981
1642994,1762292144.657761,2.500526,2.556842,0.000263,0.028421
1642994,1762292144.657783,2.500526,2.556842,0.000263,0.028421
1642994,1762292144.657850,2.499886,2.559722,-0.000057,0.029861
1642995,1762292144.657890,2.499886,2.561642,-0.000057,0.030821
1642995,1762292144.657907,2.499246,2.561642,-0.000377,0.030821
1642995,1762292144.657950,2.500206,2.565161,0.000103,0.032581
1643010,1762292144.673199,2.499886,2.564841,-0.000057,0.032421
1643010,1762292144.673227,2.499886,2.568041,-0.000057,0.034021
1643010,1762292144.673235,2.499566,2.567401,-0.000217,0.033701
