time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1214324,1762283997.963279,ACCEL,0,0.00000,0.12000,0.06749,1214324
1214329,1762283998.065228,ACCEL,1,0.00491,0.12000,0.06763,1214329
1214334,1762283998.065249,ACCEL,1,0.00491,0.12000,0.06763,1214334
1214339,1762283998.065260,ACCEL,1,0.00491,0.12000,0.06763,1214339
1214344,1762283998.065269,ACCEL,1,0.00491,0.12000,0.06763,1214344
1214349,1762283998.065328,ACCEL,1,0.00491,0.12000,0.06763,1214349
1214354,1762283998.065336,ACCEL,1,0.00491,0.12000,0.06763,1214354
1214359,1762283998.065344,ACCEL,1,0.00491,0.12000,0.06763,1214359
1214364,1762283998.066455,ACCEL,1,0.00491,0.12000,0.06763,1214364
1214369,1762283998.066480,ACCEL,2,0.00982,0.12000,0.06776,1214369
1214374,1762283998.066491,ACCEL,2,0.00982,0.12000,0.06776,1214374
1214379,1762283998.066501,ACCEL,2,0.00982,0.12000,0.06776,1214379
1214384,1762283998.066509,ACCEL,2,0.00982,0.12000,0.06776,1214384
1214389,1762283998.066521,ACCEL,2,0.00982,0.12000,0.06776,1214389
1214394,1762283998.066529,ACCEL,2,0.00982,0.12000,0.06776,1214394
1214399,1762283998.066537,ACCEL,2,0.00982,0.12000,0.06776,1214399
1214404,1762283998.066545,ACCEL,2,0.00982,0.12000,0.06776,1214404
1214409,1762283998.066553,ACCEL,3,0.01473,0.12000,0.06790,1214409
1214414,1762283998.066562,ACCEL,3,0.01473,0.12000,0.06790,1214414
1214419,1762283998.066569,ACCEL,3,0.01473,0.12000,0.06790,1214419
1214424,1762283998.066576,ACCEL,3,0.01473,0.12000,0.06790,1214424
1214429,1762283998.066584,ACCEL,3,0.01473,0.12000,0.06790,1214429
1214434,1762283998.066592,ACCEL,3,0.01473,0.12000,0.06790,1214434
1214439,1762283998.066599,ACCEL,3,0.01473,0.12000,0.06790,1214439
1214444,1762283998.066608,ACCEL,3,0.01473,0.12000,0.06790,1214444
1214449,1762283998.066616,ACCEL,4,0.01963,0.12000,0.06803,1214449
1214454,1762283998.066622,ACCEL,4,0.01963,0.12000,0.06803,1214454
