time_ms,time_ts,v4,v5,g4,g5
1214335,1762283998.162400,2.497646,2.505646,-0.001177,0.002823
1214335,1762283998.162473,2.497326,2.508525,-0.001337,0.004263
1214335,1762283998.162488,2.497966,2.509485,-0.001017,0.004743
1214335,1762283998.162499,2.497326,2.512365,-0.001337,0.006183
1214335,1762283998.162508,2.497326,2.506286,-0.001337,0.003143
1214335,1762283998.162516,2.497006,2.503086,-0.001497,0.001543
1214335,1762283998.162525,2.497646,2.512045,-0.001177,0.006023
1214335,1762283998.162532,2.498606,2.506606,-0.000697,0.003303
1214335,1762283998.162541,2.498286,2.507885,-0.000857,0.003943
1214338,1762283998.165631,2.498286,2.500846,-0.000857,0.000423
1214350,1762283998.177445,2.498606,2.513965,-0.000697,0.006983
1214350,1762283998.177471,2.498286,2.511725,-0.000857,0.005863
1214350,1762283998.177504,2.499246,2.511085,-0.000377,0.005543
1214350,1762283998.177511,2.498926,2.512045,-0.000537,0.006023
1214350,1762283998.177516,2.499246,2.508845,-0.000377,0.004423
1214350,1762283998.177522,2.498926,2.506286,-0.000537,0.003143
1214350,1762283998.177561,2.499566,2.504686,-0.000217,0.002343
1214350,1762283998.177568,2.499566,2.513325,-0.000217,0.006663
1214350,1762283998.177574,2.499886,2.523244,-0.000057,0.011622
1214350,1762283998.177579,2.499566,2.512365,-0.000217,0.006183
1214366,1762283998.193947,2.499886,2.516845,-0.000057,0.008422
1214367,1762283998.194126,2.500526,2.517485,0.000263,0.008742
1214367,1762283998.194134,2.500206,2.512685,0.000103,0.006343
1214367,1762283998.194162,2.500846,2.507246,0.000423,0.003623
1214367,1762283998.194167,2.501486,2.513325,0.000743,0.006663
1214367,1762283998.194173,2.501806,2.516205,0.000903,0.008102
1214367,1762283998.194179,2.501486,2.517485,0.000743,0.008742
1214367,1762283998.194185,2.502126,2.510125,0.001063,0.005063
1214367,1762283998.194190,2.501806,2.518765,0.000903,0.009382
1214367,1762283998.194195,2.502446,2.509485,0.001223,0.004743
1214382,1762283998.209356,2.502126,2.514605,0.001063,0.007302
1214382,1762283998.209384,2.502766,2.521005,0.001383,0.010502
1214382,1762283998.209390,2.503406,2.514605,0.001703,0.007302
1214382,1762283998.209395,2.503086,2.520365,0.001543,0.010182
1214382,1762283998.209399,2.503406,2.515565,0.001703,0.007782
1214382,1762283998.209403,2.503406,2.527404,0.001703,0.013702
1214382,1762283998.209408,2.503726,2.515245,0.001863,0.007622
1214382,1762283998.209412,2.503406,2.521964,0.001703,0.010982
1214382,1762283998.209416,2.504046,2.520365,0.002023,0.010182
1214382,1762283998.209419,2.505006,2.515245,0.002503,0.007622
1214397,1762283998.224340,2.504366,2.510765,0.002183,0.005383
1214397,1762283998.224376,2.505006,2.513005,0.002503,0.006503
1214397,1762283998.224382,2.505006,2.516205,0.002503,0.008102
1214397,1762283998.224387,2.505646,2.523244,0.002823,0.011622
1214397,1762283998.224391,2.505006,2.517165,0.002503,0.008582
1214397,1762283998.224394,2.505326,2.520045,0.002663,0.010022
1214397,1762283998.224398,2.505966,2.517165,0.002983,0.008582
1214397,1762283998.224402,2.505326,2.514605,0.002663,0.007302
1214397,1762283998.224406,2.505966,2.515565,0.002983,0.007782
1214397,1762283998.224409,2.505966,2.517805,0.002983,0.008902
1214398,1762283998.225689,2.506926,2.515885,0.003463,0.007942
1214400,1762283998.227211,2.505966,2.515885,0.002983,0.007942
1214400,1762283998.227225,2.507246,2.514925,0.003623,0.007462
1214402,1762283998.229264,2.506286,2.510445,0.003143,0.005223
1214402,1762283998.229710,2.507246,2.511405,0.003623,0.005703
1214402,1762283998.229745,2.506286,2.511725,0.003143,0.005863
1214402,1762283998.229762,2.506606,2.513325,0.003303,0.006663
1214402,1762283998.229817,2.506606,2.512045,0.003303,0.006023
1214402,1762283998.229843,2.506606,2.513005,0.003303,0.006503
1214402,1762283998.229849,2.506606,2.512685,0.003303,0.006343
1214413,1762283998.240897,2.506286,2.510125,0.003143,0.005063
1214413,1762283998.240957,2.505326,2.511085,0.002663,0.005543
1214413,1762283998.240967,2.506606,2.511405,0.003303,0.005703
1214413,1762283998.240974,2.506286,2.511085,0.003143,0.005543
1214414,1762283998.241477,2.505646,2.509805,0.002823,0.004903
1214414,1762283998.241487,2.506606,2.509485,0.003303,0.004743
1214414,1762283998.241545,2.506286,2.509805,0.003143,0.004903
1214414,1762283998.241555,2.506926,2.517165,0.003463,0.008582
1214414,1762283998.241562,2.505966,2.508525,0.002983,0.004263
1214414,1762283998.241596,2.505326,2.508205,0.002663,0.004103
1214415,1762283998.242157,2.506286,2.507885,0.003143,0.003943
1214415,1762283998.242194,2.505326,2.508205,0.002663,0.004103
1214415,1762283998.242203,2.506286,2.507565,0.003143,0.003783
1214415,1762283998.242208,2.505326,2.505646,0.002663,0.002823
1214415,1762283998.242214,2.504686,2.506286,0.002343,0.003143
1214415,1762283998.242220,2.505326,2.505646,0.002663,0.002823
1214415,1762283998.242226,2.505326,2.504686,0.002663,0.002343
1214415,1762283998.242235,2.505966,2.505326,0.002983,0.002663
1214415,1762283998.242240,2.504686,2.505646,0.002343,0.002823
1214415,1762283998.242246,2.505006,2.505326,0.002503,0.002663
1214429,1762283998.256534,2.505006,2.504686,0.002503,0.002343
1214430,1762283998.257246,2.505646,2.505966,0.002823,0.002983
1214430,1762283998.257326,2.504366,2.504366,0.002183,0.002183
1214430,1762283998.257402,2.504366,2.504046,0.002183,0.002023
1214430,1762283998.257416,2.504366,2.503406,0.002183,0.001703
1214430,1762283998.257429,2.504366,2.505966,0.002183,0.002983
1214430,1762283998.257455,2.504366,2.504686,0.002183,0.002343
1214430,1762283998.257475,2.503086,2.505326,0.001543,0.002663
