time_ms,time_ts,v4,v5,g4,g5
1284397,1762284068.338139,2.499566,2.508205,-0.000217,0.004103
1284397,1762284068.338193,2.498926,2.516845,-0.000537,0.008422
1284397,1762284068.338208,2.499886,2.506926,-0.000057,0.003463
1284397,1762284068.338218,2.498286,2.509165,-0.000857,0.004583
1284397,1762284068.338259,2.497966,2.505646,-0.001017,0.002823
1284397,1762284068.338308,2.497966,2.501806,-0.001017,0.000903
1284397,1762284068.338343,2.497006,2.514285,-0.001497,0.007142
1284397,1762284068.338372,2.497646,2.509805,-0.001177,0.004903
1284397,1762284068.338382,2.496686,2.518445,-0.001657,0.009222
1284402,1762284068.343452,2.497006,2.512365,-0.001497,0.006183
1284413,1762284068.353962,2.496686,2.512365,-0.001657,0.006183
1284413,1762284068.353995,2.497006,2.520045,-0.001497,0.010022
1284413,1762284068.354008,2.497006,2.518765,-0.001497,0.009382
1284413,1762284068.354077,2.497006,2.514605,-0.001497,0.007302
1284413,1762284068.354426,2.496686,2.520045,-0.001657,0.010022
1284413,1762284068.354437,2.496046,2.517485,-0.001977,0.008742
1284413,1762284068.354445,2.496366,2.520365,-0.001817,0.010182
1284413,1762284068.354455,2.496366,2.508205,-0.001817,0.004103
1284413,1762284068.354491,2.496366,2.520045,-0.001817,0.010022
1284413,1762284068.354510,2.496686,2.520365,-0.001657,0.010182
1284428,1762284068.368942,2.496686,2.516525,-0.001657,0.008262
1284428,1762284068.368995,2.496366,2.517165,-0.001817,0.008582
1284428,1762284068.369007,2.497326,2.526764,-0.001337,0.013382
1284428,1762284068.369016,2.496366,2.518445,-0.001817,0.009222
1284428,1762284068.369026,2.497646,2.521005,-0.001177,0.010502
1284428,1762284068.369037,2.497006,2.518765,-0.001497,0.009382
1284428,1762284068.369047,2.497006,2.532524,-0.001497,0.016262
1284428,1762284068.369058,2.497646,2.526444,-0.001177,0.013222
1284428,1762284068.369068,2.497006,2.523564,-0.001497,0.011782
1284428,1762284068.369077,2.498286,2.530924,-0.000857,0.015462
1284445,1762284068.385870,2.497966,2.529324,-0.001017,0.014662
1284445,1762284068.385921,2.498286,2.521644,-0.000857,0.010822
1284445,1762284068.385929,2.498606,2.528684,-0.000697,0.014342
1284445,1762284068.385936,2.497966,2.521005,-0.001017,0.010502
1284445,1762284068.385941,2.498286,2.517805,-0.000857,0.008902
1284445,1762284068.385953,2.499246,2.529324,-0.000377,0.014662
1284445,1762284068.385958,2.498286,2.530924,-0.000857,0.015462
1284445,1762284068.385962,2.499886,2.527084,-0.000057,0.013542
1284445,1762284068.385967,2.499566,2.533804,-0.000217,0.016902
1284448,1762284068.389618,2.498926,2.529644,-0.000537,0.014822
1284459,1762284068.400421,2.500206,2.528684,0.000103,0.014342
1284459,1762284068.400460,2.500206,2.529004,0.000103,0.014502
1284459,1762284068.400473,2.499566,2.528044,-0.000217,0.014022
1284459,1762284068.400503,2.500846,2.529644,0.000423,0.014822
1284462,1762284068.403648,2.500526,2.524524,0.000263,0.012262
1284462,1762284068.403690,2.501166,2.532204,0.000583,0.016102
1284462,1762284068.403745,2.501166,2.526764,0.000583,0.013382
1284462,1762284068.403762,2.501166,2.526124,0.000583,0.013062
1284463,1762284068.403785,2.501806,2.530284,0.000903,0.015142
1284463,1762284068.403792,2.502766,2.529324,0.001383,0.014662
1284463,1762284068.404467,2.501806,2.538283,0.000903,0.019142
1284463,1762284068.404496,2.503406,2.534444,0.001703,0.017222
1284463,1762284068.404524,2.503086,2.527724,0.001543,0.013862
1284463,1762284068.404552,2.503406,2.526124,0.001703,0.013062
1284463,1762284068.404558,2.504366,2.527404,0.002183,0.013702
1284463,1762284068.404563,2.503406,2.529644,0.001703,0.014822
1284463,1762284068.404568,2.505326,2.529964,0.002663,0.014982
1284463,1762284068.404574,2.504686,2.521644,0.002343,0.010822
1284463,1762284068.404609,2.504686,2.526444,0.002343,0.013222
1284463,1762284068.404664,2.505646,2.526764,0.002823,0.013382
1284464,1762284068.405363,2.506606,2.521964,0.003303,0.010982
1284464,1762284068.405752,2.505966,2.522604,0.002983,0.011302
1284465,1762284068.405780,2.506606,2.524524,0.003303,0.012262
1284465,1762284068.405789,2.506286,2.523884,0.003143,0.011942
1284465,1762284068.405794,2.506926,2.521964,0.003463,0.010982
1284465,1762284068.405837,2.507246,2.523244,0.003623,0.011622
1284465,1762284068.405846,2.506926,2.523244,0.003463,0.011622
1284465,1762284068.405852,2.508205,2.523564,0.004103,0.011782
1284465,1762284068.405857,2.508525,2.520685,0.004263,0.010342
1284465,1762284068.405862,2.508525,2.523884,0.004263,0.011942
1284476,1762284068.416801,2.508845,2.521324,0.004423,0.010662
1284476,1762284068.417009,2.507565,2.519725,0.003783,0.009862
1284476,1762284068.417046,2.508845,2.520685,0.004423,0.010342
1284476,1762284068.417052,2.508205,2.519405,0.004103,0.009702
1284476,1762284068.417057,2.507565,2.520045,0.003783,0.010022
1284476,1762284068.417062,2.508845,2.520045,0.004423,0.010022
1284476,1762284068.417068,2.508845,2.519725,0.004423,0.009862
1284476,1762284068.417076,2.509165,2.518445,0.004583,0.009222
1284476,1762284068.417081,2.508525,2.516525,0.004263,0.008262
1284476,1762284068.417086,2.508525,2.518125,0.004263,0.009062
1284491,1762284068.432381,2.509485,2.516845,0.004743,0.008422
1284491,1762284068.432433,2.507565,2.516525,0.003783,0.008262
1284491,1762284068.432455,2.508525,2.515245,0.004263,0.007622
1284491,1762284068.432469,2.508845,2.514285,0.004423,0.007142
1284491,1762284068.432484,2.508205,2.514605,0.004103,0.007302
1284491,1762284068.432498,2.507885,2.513645,0.003943,0.006823
1284491,1762284068.432512,2.508525,2.513645,0.004263,0.006823
1284491,1762284068.432526,2.508205,2.513645,0.004103,0.006823
1284491,1762284068.432540,2.507885,2.512365,0.003943,0.006183
1284491,1762284068.432554,2.507885,2.512365,0.003943,0.006183
1284508,1762284068.449314,2.507246,2.512045,0.003623,0.006023
1284509,1762284068.449813,2.508205,2.511085,0.004103,0.005543
1284512,1762284068.452985,2.507565,2.511405,0.003783,0.005703
1284512,1762284068.453741,2.507885,2.511085,0.003943,0.005543
1284513,1762284068.453843,2.506606,2.509805,0.003303,0.004903
1284513,1762284068.453899,2.506926,2.509165,0.003463,0.004583
1284513,1762284068.453934,2.507246,2.509165,0.003623,0.004583
1284513,1762284068.453944,2.506286,2.509805,0.003143,0.004903
1284513,1762284068.453954,2.506606,2.509165,0.003303,0.004583
1284513,1762284068.453985,2.505966,2.507885,0.002983,0.003943
1284514,1762284068.455085,2.506926,2.506926,0.003463,0.003463
1284514,1762284068.455124,2.505326,2.508525,0.002663,0.004263
1284514,1762284068.455142,2.505646,2.507885,0.002823,0.003943
1284514,1762284068.455185,2.504686,2.506606,0.002343,0.003303
1284514,1762284068.455228,2.505966,2.506926,0.002983,0.003463
1284514,1762284068.455235,2.504686,2.507565,0.002343,0.003783
1284514,1762284068.455241,2.504686,2.507565,0.002343,0.003783
1284514,1762284068.455246,2.504366,2.507246,0.002183,0.003623
1284514,1762284068.455251,2.503726,2.506286,0.001863,0.003143
1284514,1762284068.455258,2.503726,2.506606,0.001863,0.003303
1284525,1762284068.466557,2.503726,2.507246,0.001863,0.003623
1284526,1762284068.467049,2.503086,2.506286,0.001543,0.003143
1284526,1762284068.467060,2.503086,2.506926,0.001543,0.003463
1284526,1762284068.467068,2.503086,2.505646,0.001543,0.002823
1284526,1762284068.467075,2.502446,2.507565,0.001223,0.003783
1284526,1762284068.467082,2.501806,2.506286,0.000903,0.003143
1284526,1762284068.467089,2.501486,2.507246,0.000743,0.003623
1284526,1762284068.467095,2.501806,2.507246,0.000903,0.003623
1284526,1762284068.467102,2.501806,2.506606,0.000903,0.003303
1284526,1762284068.467109,2.501166,2.507885,0.000583,0.003943
1284526,1762284068.467691,2.500526,2.506606,0.000263,0.003303
1284526,1762284068.467714,2.500526,2.506926,0.000263,0.003463
1284526,1762284068.467721,2.500206,2.506286,0.000103,0.003143
1284526,1762284068.467747,2.500206,2.507565,0.000103,0.003783
1284526,1762284068.467760,2.500206,2.506926,0.000103,0.003463
1284526,1762284068.467767,2.499246,2.506606,-0.000377,0.003303
1284527,1762284068.467774,2.499246,2.507885,-0.000377,0.003943
1284527,1762284068.467781,2.500846,2.506606,0.000423,0.003303
1284527,1762284068.467788,2.499566,2.506926,-0.000217,0.003463
1284527,1762284068.467798,2.498926,2.507885,-0.000537,0.003943
1284539,1762284068.479977,2.499886,2.507885,-0.000057,0.003943
1284539,1762284068.480031,2.498926,2.507565,-0.000537,0.003783
1284539,1762284068.480054,2.499566,2.507246,-0.000217,0.003623
1284539,1762284068.480060,2.498926,2.507246,-0.000537,0.003623
1284539,1762284068.480066,2.499566,2.506606,-0.000217,0.003303
1284539,1762284068.480071,2.497966,2.507565,-0.001017,0.003783
1284539,1762284068.480093,2.499886,2.509165,-0.000057,0.004583
1284539,1762284068.480101,2.498926,2.507885,-0.000537,0.003943
1284539,1762284068.480105,2.499566,2.509165,-0.000217,0.004583
1284539,1762284068.480109,2.498926,2.507885,-0.000537,0.003943
1284555,1762284068.495862,2.498926,2.508205,-0.000537,0.004103
1284555,1762284068.495889,2.498926,2.507885,-0.000537,0.003943
1284555,1762284068.495894,2.498606,2.508525,-0.000697,0.004263
1284555,1762284068.495898,2.496366,2.508525,-0.001817,0.004263
1284555,1762284068.495902,2.498606,2.508845,-0.000697,0.004423
1284555,1762284068.495906,2.497646,2.508525,-0.001177,0.004263
1284555,1762284068.495909,2.498606,2.509165,-0.000697,0.004583
1284555,1762284068.495913,2.498606,2.509485,-0.000697,0.004743
1284555,1762284068.495918,2.496686,2.509165,-0.001657,0.004583
1284555,1762284068.495927,2.498606,2.509165,-0.000697,0.004583
1284571,1762284068.511876,2.495726,2.509485,-0.002137,0.004743
1284571,1762284068.511904,2.499246,2.508845,-0.000377,0.004423
1284571,1762284068.511936,2.498606,2.509805,-0.000697,0.004903
1284571,1762284068.511942,2.496046,2.509165,-0.001977,0.004583
1284571,1762284068.511946,2.497006,2.509165,-0.001497,0.004583
1284571,1762284068.511967,2.498606,2.508845,-0.000697,0.004423
1284571,1762284068.511997,2.500526,2.509165,0.000263,0.004583
1284571,1762284068.512004,2.498926,2.508205,-0.000537,0.004103
1284571,1762284068.512010,2.498606,2.509485,-0.000697,0.004743
1284571,1762284068.512015,2.500206,2.508525,0.000103,0.004263
1284571,1762284068.512296,2.499566,2.508205,-0.000217,0.004103
1284571,1762284068.512308,2.499246,2.508845,-0.000377,0.004423
1284571,1762284068.512336,2.500206,2.507885,0.000103,0.003943
1284571,1762284068.512380,2.506286,2.508205,0.003143,0.004103
1284571,1762284068.512394,2.493487,2.507885,-0.003257,0.003943
1284571,1762284068.512401,2.497966,2.507885,-0.001017,0.003943
1284571,1762284068.512407,2.498926,2.508205,-0.000537,0.004103
1284571,1762284068.512412,2.504046,2.507246,0.002023,0.003623
1284571,1762284068.512417,2.499886,2.508205,-0.000057,0.004103
1284571,1762284068.512422,2.505966,2.506926,0.002983,0.003463
1284587,1762284068.528037,2.511405,2.506606,0.005703,0.003303
1284587,1762284068.528060,2.507246,2.506286,0.003623,0.003143
1284587,1762284068.528067,2.505326,2.506926,0.002663,0.003463
1284587,1762284068.528077,2.511085,2.506286,0.005543,0.003143
1284587,1762284068.528082,2.506926,2.506926,0.003463,0.003463
1284587,1762284068.528087,2.497966,2.505966,-0.001017,0.002983
1284587,1762284068.528091,2.507246,2.505966,0.003623,0.002983
1284587,1762284068.528119,2.512045,2.505646,0.006023,0.002823
1284587,1762284068.528134,2.504686,2.504686,0.002343,0.002343
1284587,1762284068.528140,2.500846,2.505646,0.000423,0.002823
1284588,1762284068.528937,2.508205,2.505326,0.004103,0.002663
1284588,1762284068.528957,2.503086,2.504686,0.001543,0.002343
1284588,1762284068.528964,2.499566,2.504046,-0.000217,0.002023
1284588,1762284068.528970,2.514925,2.505326,0.007462,0.002663
1284588,1762284068.528993,2.511725,2.504366,0.005863,0.002183
1284588,1762284068.529013,2.504686,2.503726,0.002343,0.001863
1284588,1762284068.529033,2.508525,2.504686,0.004263,0.002343
1284588,1762284068.529047,2.502446,2.504366,0.001223,0.002183
1284588,1762284068.529068,2.489327,2.504686,-0.005337,0.002343
1284588,1762284068.529100,2.504046,2.503726,0.002023,0.001863
1284602,1762284068.543397,2.503406,2.504046,0.001703,0.002023
1284602,1762284068.543423,2.506606,2.503726,0.003303,0.001863
1284602,1762284068.543433,2.502126,2.503726,0.001063,0.001863
1284602,1762284068.543437,2.503406,2.504046,0.001703,0.002023
1284602,1762284068.543441,2.506926,2.503726,0.003463,0.001863
1284602,1762284068.543445,2.502766,2.503406,0.001383,0.001703
1284602,1762284068.543449,2.523564,2.502766,0.011782,0.001383
1284602,1762284068.543456,2.505646,2.503726,0.002823,0.001863
1284602,1762284068.543460,2.528364,2.503406,0.014182,0.001703
1284602,1762284068.543472,2.516845,2.503406,0.008422,0.001703
1284617,1762284068.558496,2.499566,2.503086,-0.000217,0.001543
1284617,1762284068.558540,2.499886,2.502446,-0.000057,0.001223
1284617,1762284068.558545,2.511085,2.503726,0.005543,0.001863
1284617,1762284068.558550,2.499886,2.502126,-0.000057,0.001063
