time_ms,time_ts,v4,v5,g4,g5
1662603,1762295573.478385,2.500206,2.514605,0.000103,0.007302
1662603,1762295573.478439,2.501166,2.515565,0.000583,0.007782
1662603,1762295573.478451,2.501486,2.515885,0.000743,0.007942
1662603,1762295573.478458,2.501806,2.515885,0.000903,0.007942
1662603,1762295573.478465,2.501806,2.515565,0.000903,0.007782
1662603,1762295573.478473,2.502126,2.516205,0.001063,0.008102
1662603,1762295573.478480,2.502126,2.516845,0.001063,0.008422
1662603,1762295573.478486,2.501806,2.518125,0.000903,0.009062
1662603,1762295573.478493,2.502446,2.517805,0.001223,0.008902
1662606,1762295573.481582,2.501806,2.518125,0.000903,0.009062
1662619,1762295573.494422,2.501806,2.518765,0.000903,0.009382
1662619,1762295573.494466,2.503086,2.519725,0.001543,0.009862
1662619,1762295573.494478,2.502126,2.519085,0.001063,0.009542
1662619,1762295573.494488,2.503086,2.519725,0.001543,0.009862
1662619,1762295573.494497,2.502766,2.520045,0.001383,0.010022
1662619,1762295573.494505,2.503726,2.520365,0.001863,0.010182
1662619,1762295573.494513,2.503406,2.521005,0.001703,0.010502
1662619,1762295573.494523,2.503726,2.521964,0.001863,0.010982
1662619,1762295573.494533,2.503406,2.522604,0.001703,0.011302
1662620,1762295573.495776,2.504046,2.522284,0.002023,0.011142
1662635,1762295573.510203,2.504366,2.523564,0.002183,0.011782
1662635,1762295573.510249,2.504046,2.523884,0.002023,0.011942
1662635,1762295573.510829,2.504366,2.524204,0.002183,0.012102
1662635,1762295573.510899,2.504366,2.523564,0.002183,0.011782
1662635,1762295573.510920,2.504686,2.524844,0.002343,0.012422
1662635,1762295573.510937,2.505326,2.525484,0.002663,0.012742
1662635,1762295573.510974,2.504686,2.525804,0.002343,0.012902
1662635,1762295573.510997,2.505646,2.526764,0.002823,0.013382
1662635,1762295573.511019,2.505966,2.527084,0.002983,0.013542
1662635,1762295573.511052,2.506606,2.528684,0.003303,0.014342
1662650,1762295573.525521,2.506286,2.529644,0.003143,0.014822
1662650,1762295573.525576,2.507246,2.530604,0.003623,0.015302
1662650,1762295573.525600,2.506926,2.529964,0.003463,0.014982
1662651,1762295573.526540,2.506926,2.531564,0.003463,0.015782
1662651,1762295573.526559,2.507246,2.531244,0.003623,0.015622
1662651,1762295573.526565,2.507246,2.532524,0.003623,0.016262
1662651,1762295573.526571,2.507885,2.533484,0.003943,0.016742
1662651,1762295573.526588,2.507885,2.534124,0.003943,0.017062
1662651,1762295573.526595,2.507246,2.534124,0.003623,0.017062
1662651,1762295573.526600,2.507885,2.535403,0.003943,0.017702
